escuela,sexo,edad,tipo_hogar,tamano_familia,estado_padres,educacion_madre,educacion_padre,trabajo_madre,trabajo_padre,apoderado,tiempo_viaje,tiempo_estudio,reprobaciones,soporte_educacional,soporte_familiar,pago_extra,actividades,ed_superior,internet,relacion_amorosa,relacion_familiar,tiempo_libre,salir,alcohol_dia,alcohol_fin_de_semana,salud,ausencias,nota_final
GP,H,15,R,IMenor3,J,4,3,profesora,en_casa,madre,1,2,0,no,si,no,si,si,si,si,4,5,2,1,1,5,0,15
GP,H,15,U,IMayor3,J,3,3,otro,otro,madre,1,2,0,no,no,no,si,si,si,no,5,3,2,1,1,2,0,12
GP,H,16,U,IMenor3,J,3,2,otro,otro,madre,1,1,0,no,si,no,no,si,si,no,5,4,3,1,1,5,4,12
GP,M,15,U,IMenor3,J,2,3,otro,otro,padre,2,1,0,no,si,no,si,si,no,no,3,5,1,1,1,5,4,11
GP,H,15,U,IMayor3,J,4,3,profesora,publico,madre,1,3,0,no,si,no,si,si,si,no,5,4,3,1,1,4,0,14
GP,H,16,R,IMenor3,S,4,4,otro,profesor,madre,2,3,0,no,si,no,si,si,si,si,2,4,3,1,1,5,4,13
GP,M,15,R,IMenor3,J,3,4,publico,salud,madre,1,3,0,si,si,no,si,si,si,no,4,3,2,1,1,5,2,12
GP,M,15,R,IMenor3,J,2,2,en_casa,otro,madre,1,1,0,si,si,no,si,si,no,no,4,3,1,1,1,2,8,12
GP,M,16,U,IMayor3,J,2,2,otro,otro,madre,2,2,0,no,si,no,si,si,si,si,3,3,3,1,2,3,16,10
GP,H,15,U,IMayor3,J,4,4,profesora,otro,padre,1,1,0,no,si,no,no,si,si,si,5,4,3,2,4,5,8,11
GP,H,15,U,IMenor3,J,4,4,publico,profesor,padre,1,2,0,no,si,no,si,si,si,no,4,3,3,1,1,5,0,15
GP,H,15,U,IMenor3,J,2,2,publico,publico,padre,1,1,0,si,si,no,no,si,si,no,5,4,1,1,1,1,0,10
GP,M,16,U,IMayor3,J,2,2,otro,en_casa,padre,2,2,1,si,no,no,si,si,si,no,4,3,3,2,2,5,14,11
GP,M,15,U,IMayor3,S,4,3,otro,otro,madre,1,2,0,si,si,si,si,si,si,si,5,2,2,1,1,5,4,11
GP,M,16,U,IMayor3,S,3,3,otro,publico,madre,1,2,0,no,si,no,no,si,si,no,2,3,5,1,4,3,6,13
GP,H,16,U,IMenor3,J,4,3,salud,publico,madre,1,4,0,no,no,no,si,si,si,no,4,2,2,1,1,2,2,17
GP,H,15,U,IMenor3,J,4,2,profesora,otro,madre,1,2,0,no,si,no,no,si,no,no,4,3,3,2,2,5,4,13
GP,M,15,U,IMenor3,J,4,4,publico,profesor,padre,1,2,0,si,si,no,si,si,si,no,4,4,4,1,1,3,2,12
GP,M,16,U,IMayor3,J,2,2,publico,publico,madre,3,2,0,no,si,no,no,si,si,no,4,3,3,2,3,4,0,13
GP,M,15,U,IMayor3,J,4,2,salud,otro,madre,1,2,0,no,si,no,no,si,si,no,4,3,3,1,1,5,0,16
GP,H,15,U,IMayor3,S,4,2,salud,salud,padre,2,1,0,no,no,no,no,si,no,no,5,5,5,3,4,5,4,9
GP,M,15,U,IMenor3,J,4,4,publico,publico,madre,1,1,0,si,si,no,no,si,si,no,3,3,4,2,3,5,0,12
GP,M,15,U,IMayor3,S,3,3,otro,otro,madre,1,1,0,no,no,no,no,si,si,no,5,3,4,4,4,1,0,13
GP,M,16,U,IMenor3,S,2,1,otro,otro,madre,1,2,0,no,no,no,si,si,si,si,5,3,4,1,1,2,2,12
GP,M,15,U,IMenor3,S,4,3,publico,publico,madre,1,2,0,no,si,no,si,si,si,no,4,3,2,1,1,1,0,15
GP,H,15,U,IMenor3,J,4,4,profesora,salud,madre,1,2,0,no,si,no,si,si,no,no,3,2,2,1,1,5,8,16
GP,H,15,U,IMayor3,J,1,2,otro,en_casa,padre,1,2,0,si,si,no,si,si,si,no,4,3,2,1,1,5,0,14
GP,M,16,U,IMenor3,J,4,2,publico,otro,madre,1,2,0,no,si,si,no,si,si,no,4,2,3,1,1,5,2,16
GP,M,16,R,IMenor3,J,4,4,salud,profesor,madre,1,2,0,no,si,no,si,si,no,no,2,4,4,2,3,4,0,16
GP,M,16,U,IMenor3,J,1,1,publico,publico,padre,4,1,0,si,si,no,si,si,si,si,5,5,5,5,5,5,0,16
GP,M,16,U,IMayor3,J,1,2,otro,publico,padre,1,2,0,si,no,no,si,si,si,no,4,4,3,1,1,1,0,10
GP,M,16,U,IMenor3,J,4,3,profesora,salud,madre,1,3,0,si,si,no,si,si,si,no,3,4,4,2,4,4,0,13
GP,M,15,U,IMayor3,J,4,3,publico,publico,padre,1,2,0,si,no,no,si,si,si,si,4,4,4,2,4,2,0,12
GP,M,16,U,IMayor3,J,4,3,profesora,publico,madre,3,2,0,no,si,no,si,si,si,no,5,4,3,1,2,1,2,16
GP,H,15,U,IMenor3,S,4,4,otro,publico,madre,1,4,0,no,si,no,si,si,si,si,1,3,3,5,5,3,0,12
GP,M,16,U,IMenor3,J,3,1,publico,otro,madre,1,4,0,si,si,no,no,si,si,no,4,3,3,1,2,5,0,10
GP,M,15,R,IMayor3,J,2,2,salud,publico,madre,2,2,0,si,si,no,no,si,si,no,4,1,3,1,3,4,0,11
GP,M,15,R,IMayor3,J,3,1,otro,otro,padre,2,4,0,no,si,no,no,si,si,no,4,4,2,2,3,3,6,15
GP,H,16,U,IMenor3,J,3,1,otro,otro,padre,2,4,0,no,si,no,no,si,si,no,4,3,2,1,1,5,2,11
GP,H,15,U,IMenor3,J,4,2,otro,otro,madre,1,4,0,no,no,no,no,si,si,no,3,3,3,1,1,3,0,10
GP,M,15,R,IMenor3,J,1,1,otro,otro,madre,1,2,0,si,si,no,no,si,si,si,3,3,4,2,4,5,2,11
GP,H,16,U,IMenor3,J,3,1,otro,otro,madre,1,1,0,no,no,no,si,si,no,no,5,3,2,2,2,5,0,14
GP,M,16,U,IMenor3,J,3,3,otro,publico,madre,1,2,0,si,si,no,si,si,si,no,4,3,3,2,4,5,4,11
GP,H,15,U,IMenor3,J,4,3,profesora,otro,madre,1,2,0,no,si,no,si,si,si,no,4,3,3,2,3,5,0,11
GP,H,15,U,IMenor3,J,4,0,profesora,otro,madre,2,4,0,no,no,no,si,si,si,no,3,4,3,1,1,1,0,11
GP,M,16,U,IMenor3,J,2,2,otro,otro,madre,1,4,0,no,no,no,no,si,si,si,5,2,3,1,3,3,1,13
GP,H,17,U,IMenor3,J,2,1,otro,otro,madre,2,1,3,si,si,no,si,no,si,no,4,5,1,1,1,3,0,10
GP,M,16,U,IMenor3,J,3,4,en_casa,otro,madre,1,2,0,no,si,no,no,si,si,no,2,4,3,1,2,3,14,11
GP,H,15,U,IMenor3,J,2,3,otro,publico,padre,1,1,0,si,si,no,si,si,si,si,3,2,2,1,3,3,0,12
GP,H,15,U,IMenor3,J,2,3,otro,otro,madre,1,3,0,si,no,no,no,si,si,no,5,3,2,1,2,5,2,9
GP,M,15,U,IMayor3,J,3,2,publico,otro,madre,1,2,0,no,si,no,no,si,si,no,4,4,4,1,1,5,4,11
GP,H,15,U,IMayor3,J,2,2,publico,publico,madre,2,2,0,no,no,si,si,si,si,no,5,3,3,1,3,4,2,13
GP,M,15,U,IMenor3,J,1,1,otro,otro,padre,1,2,0,no,si,no,si,si,si,no,4,3,2,2,3,4,2,12
GP,M,15,U,IMenor3,J,4,4,publico,publico,padre,2,2,0,no,no,no,no,si,si,si,4,4,4,2,3,5,4,12
GP,M,16,U,IMayor3,J,2,2,en_casa,otro,madre,1,2,0,no,si,no,no,si,no,no,4,3,4,1,2,2,6,11
GP,M,15,U,IMenor3,J,4,2,otro,otro,madre,1,3,0,no,si,no,si,si,si,no,5,3,3,1,3,1,4,15
GP,H,16,U,IMenor3,J,2,2,publico,otro,padre,2,2,0,no,no,no,si,si,si,no,4,4,2,1,1,3,6,11
GP,H,16,U,IMayor3,S,4,4,profesora,salud,madre,1,2,0,no,si,no,no,si,no,no,4,1,3,3,5,5,6,10
GP,M,16,U,IMenor3,J,3,3,otro,otro,madre,1,3,0,no,si,no,no,si,si,si,4,3,3,1,3,4,2,11
GP,M,15,U,IMenor3,J,4,3,publico,otro,madre,1,1,0,no,no,no,si,si,si,no,4,5,5,1,3,1,6,13
GP,M,16,U,IMayor3,J,3,1,otro,otro,padre,1,2,0,si,si,no,no,si,no,no,3,3,3,2,3,2,0,12
GP,M,16,U,IMenor3,J,4,2,profesora,publico,madre,2,2,0,no,si,no,si,si,si,no,5,3,3,1,1,1,2,14
GP,H,15,U,IMayor3,J,2,2,publico,salud,madre,1,4,0,no,si,no,si,si,si,no,4,3,4,1,1,4,2,12
GP,M,15,R,IMenor3,J,1,1,en_casa,otro,madre,2,4,0,si,si,si,si,si,si,no,3,1,2,1,1,1,4,13
GP,H,16,R,IMenor3,J,4,3,publico,otro,madre,2,1,0,si,si,si,si,si,si,no,3,3,3,1,1,4,6,11
GP,M,16,U,IMenor3,J,2,1,otro,otro,madre,1,2,0,no,si,no,no,si,no,si,4,3,5,1,1,5,0,12
GP,M,16,U,IMenor3,J,4,4,otro,otro,madre,1,1,0,no,no,no,si,si,si,no,5,3,4,1,2,1,4,13
GP,M,16,U,IMenor3,J,4,3,otro,en_casa,madre,1,3,0,si,si,no,no,si,si,no,5,3,5,1,1,3,2,13
GP,H,16,U,IMenor3,J,4,4,publico,publico,madre,1,1,0,si,si,no,si,si,si,no,4,5,5,5,5,4,12,8
GP,H,16,U,IMenor3,J,4,4,publico,profesor,padre,1,3,0,no,si,no,si,si,si,si,4,4,3,1,1,4,0,16
GP,H,15,U,IMenor3,J,4,4,publico,otro,madre,1,1,0,no,si,si,si,si,si,no,5,3,3,1,1,5,2,12
GP,M,15,U,IMenor3,J,3,2,publico,otro,madre,2,2,0,si,si,no,no,si,si,no,4,3,5,1,1,2,16,10
GP,H,15,U,IMenor3,S,3,4,publico,otro,madre,1,2,0,no,si,no,si,si,si,no,5,4,4,1,1,1,0,16
GP,M,15,U,IMenor3,S,3,3,otro,salud,padre,1,4,0,si,no,no,no,si,no,no,4,3,3,1,1,4,10,10
GP,M,15,U,IMenor3,J,2,2,otro,otro,madre,1,4,0,si,si,no,no,si,si,no,5,1,2,1,1,3,4,10
GP,H,16,U,IMenor3,J,3,3,publico,otro,padre,1,3,0,no,si,no,si,si,si,no,5,3,3,1,1,5,4,14
GP,H,15,R,IMenor3,J,4,4,otro,otro,padre,4,4,0,no,si,no,si,si,si,si,1,3,5,3,5,1,8,11
GP,M,16,U,IMayor3,J,4,4,salud,salud,madre,1,3,0,no,si,no,si,si,si,si,5,4,5,1,1,4,2,14
GP,H,15,U,IMayor3,S,4,4,profesora,profesor,madre,1,1,0,no,no,no,si,si,si,no,5,5,3,1,1,4,4,14
GP,M,16,R,IMenor3,J,3,3,publico,otro,padre,1,3,0,si,si,no,si,si,si,no,4,1,2,1,1,2,4,11
GP,M,16,U,IMenor3,J,2,2,en_casa,otro,madre,1,2,1,si,no,no,si,si,si,no,3,1,2,1,1,5,12,10
GP,H,15,U,IMayor3,J,4,2,profesora,otro,madre,1,1,0,no,no,no,no,si,si,no,3,5,2,1,1,3,10,18
GP,H,15,R,IMenor3,J,2,1,salud,publico,madre,1,2,0,no,no,no,si,si,si,si,5,4,2,1,1,5,4,10
GP,H,16,U,IMenor3,J,4,4,profesora,profesor,padre,1,2,0,no,si,no,si,si,si,no,5,4,4,1,2,5,6,14
GP,H,15,U,IMenor3,J,4,4,otro,profesor,padre,2,2,0,no,si,no,si,si,no,no,4,4,3,1,1,2,4,16
GP,H,16,U,IMenor3,J,3,3,otro,publico,padre,2,1,0,no,no,no,si,si,si,no,5,4,2,1,1,5,6,15
GP,H,17,R,IMenor3,J,1,3,otro,otro,padre,3,2,1,no,si,no,si,si,si,no,5,2,4,1,4,5,14,11
GP,H,15,U,IMenor3,J,3,4,otro,otro,padre,1,1,0,no,no,no,no,si,si,no,3,4,3,1,2,4,2,14
GP,M,15,U,IMenor3,J,1,2,en_casa,publico,madre,1,2,0,no,no,no,no,si,si,no,3,2,3,1,2,1,0,14
GP,H,15,U,IMenor3,J,2,2,publico,publico,padre,1,4,0,no,si,no,si,si,si,no,5,5,4,1,2,5,6,13
GP,M,16,U,IMayor3,J,2,4,otro,salud,padre,2,2,0,no,si,no,si,si,si,si,4,2,2,1,2,5,2,13
GP,H,16,U,IMenor3,J,4,4,salud,otro,madre,1,1,0,no,si,no,si,si,si,no,3,4,4,1,4,5,4,13
GP,M,16,U,IMenor3,J,2,2,otro,otro,madre,1,2,0,no,no,no,no,si,si,si,5,4,4,1,1,5,0,11
GP,H,15,U,IMenor3,J,3,4,publico,publico,padre,1,1,0,si,no,no,no,si,si,no,5,5,5,3,2,5,2,9
GP,M,15,U,IMayor3,S,3,4,otro,otro,madre,1,2,0,si,no,no,si,si,si,si,5,3,2,1,1,1,0,11
GP,M,19,U,IMenor3,J,0,1,en_casa,otro,padre,1,2,2,no,si,no,no,no,no,no,3,4,2,1,1,5,0,11
GP,H,16,R,IMenor3,J,4,4,profesora,profesor,madre,1,1,0,no,no,no,si,si,si,no,3,5,5,2,5,4,8,15
GP,H,16,U,IMenor3,J,2,3,otro,otro,madre,2,3,0,no,si,no,no,si,si,si,3,2,3,2,2,1,4,13
GP,M,15,R,IMenor3,J,3,4,publico,profesor,padre,2,3,0,no,si,no,no,si,si,si,4,2,2,2,2,5,0,12
GP,M,18,U,IMenor3,J,2,1,publico,otro,madre,1,2,3,no,si,no,si,no,si,si,5,4,5,1,3,5,10,8
GP,M,17,U,IMayor3,S,2,1,otro,otro,madre,3,1,0,no,si,no,no,si,si,no,3,2,2,1,2,5,8,11
GP,M,15,U,IMenor3,J,1,1,en_casa,otro,madre,3,1,0,no,si,no,si,si,si,si,4,3,3,1,2,4,6,13
GP,M,17,U,IMayor3,J,2,2,otro,otro,padre,1,1,0,no,si,no,no,si,si,si,3,4,4,1,3,5,2,12
GP,M,16,U,IMenor3,S,3,4,publico,otro,padre,1,1,0,no,no,no,no,si,si,no,3,2,1,1,4,5,12,14
GP,H,16,U,IMenor3,J,2,1,en_casa,otro,madre,4,1,0,no,no,no,no,si,no,no,3,2,1,1,1,2,4,11
GP,M,16,U,IMenor3,S,2,2,otro,otro,madre,1,1,1,no,no,no,no,si,no,no,5,3,4,1,1,5,12,11
GP,H,15,R,IMenor3,J,3,4,en_casa,profesor,madre,4,2,0,no,si,no,no,si,no,si,5,3,3,1,1,5,2,11
GP,M,15,U,IMenor3,J,4,4,publico,en_casa,madre,1,3,0,no,si,no,si,si,si,si,4,3,3,1,1,5,4,15
GP,H,17,R,IMenor3,J,3,4,en_casa,otro,madre,3,2,0,no,no,no,no,si,no,no,5,4,5,2,4,5,2,10
GP,M,16,R,IMenor3,J,1,1,en_casa,otro,madre,4,2,0,no,si,no,no,si,no,no,5,1,3,1,1,3,0,13
GP,H,18,U,IMayor3,J,3,1,publico,publico,madre,2,1,0,no,no,no,si,si,si,si,3,3,4,4,5,4,2,12
GP,M,18,U,IMenor3,S,3,2,otro,publico,padre,1,3,0,no,si,no,si,si,si,si,4,3,3,5,1,5,10,11
GP,M,16,R,IMenor3,J,1,1,otro,publico,madre,2,1,0,no,si,no,si,si,no,si,3,3,3,1,2,1,8,11
GP,M,16,U,IMenor3,S,3,3,otro,otro,padre,2,1,0,no,si,no,si,si,si,si,4,3,2,1,1,5,4,10
GP,H,16,U,IMayor3,J,1,1,publico,otro,madre,1,2,2,no,no,no,no,si,no,si,4,4,4,1,3,5,0,10
GP,M,15,U,IMenor3,J,4,4,profesora,profesor,madre,2,1,0,no,no,no,si,si,si,no,4,3,2,1,1,5,6,14
GP,M,15,R,IMenor3,J,1,1,otro,otro,madre,3,1,1,no,no,no,si,si,si,si,5,5,5,1,1,1,2,9
GP,H,15,U,IMenor3,J,4,3,profesora,publico,padre,2,4,0,si,si,no,no,si,si,no,2,2,2,1,1,3,6,11
GP,M,15,U,IMenor3,S,3,3,publico,publico,madre,1,2,0,no,no,no,no,si,no,si,1,3,2,2,3,1,24,9
GP,H,16,U,IMenor3,J,4,4,publico,publico,madre,1,3,0,no,si,no,si,si,si,no,5,3,3,1,3,5,0,13
GP,H,16,U,IMayor3,J,2,2,publico,publico,padre,2,1,0,no,si,no,si,si,si,no,2,3,3,2,2,2,4,11
GP,M,15,U,IMenor3,J,4,4,profesora,publico,madre,1,3,0,no,si,no,si,si,si,no,4,2,2,1,1,5,2,13
GP,M,16,U,IMayor3,J,1,1,en_casa,en_casa,madre,1,1,0,no,no,no,no,si,si,no,3,4,4,3,3,1,4,11
GP,H,17,U,IMenor3,J,2,1,otro,otro,madre,1,1,0,no,si,no,no,si,si,no,5,4,5,1,2,5,22,6
GP,M,15,U,IMenor3,J,1,1,otro,publico,padre,1,2,0,no,si,no,no,si,si,no,4,4,2,1,2,5,0,12
GP,M,15,U,IMayor3,S,2,1,en_casa,otro,madre,2,1,0,no,si,no,si,no,si,si,4,4,2,1,1,5,0,10
GP,M,15,U,IMenor3,J,3,2,salud,publico,padre,1,2,1,no,si,no,no,si,si,no,3,3,2,1,1,3,2,11
GP,M,15,U,IMenor3,J,1,2,en_casa,otro,madre,1,2,0,no,si,no,no,si,si,no,4,3,2,1,1,5,6,13
GP,M,15,U,IMenor3,J,1,2,en_casa,publico,padre,1,2,0,no,no,no,no,si,no,si,2,3,4,2,4,1,6,11
GP,H,16,U,IMenor3,J,4,4,profesora,profesor,madre,1,1,0,no,si,no,no,no,si,si,3,3,2,2,1,5,16,8
GP,H,15,U,IMayor3,S,2,1,publico,otro,madre,4,1,0,no,no,no,no,si,si,no,4,5,5,2,5,5,0,11
GP,H,18,U,IMayor3,J,1,1,otro,otro,madre,1,1,2,no,no,no,no,no,si,si,2,3,5,2,5,4,0,0
GP,H,16,U,IMayor3,J,2,1,en_casa,otro,madre,1,1,1,no,no,no,si,si,no,si,4,4,4,3,5,5,6,10
GP,M,15,R,IMenor3,J,3,3,publico,publico,padre,2,3,0,no,si,si,si,si,si,si,4,2,1,2,3,3,2,13
GP,H,19,U,IMenor3,J,3,2,publico,en_casa,madre,1,1,0,no,si,no,no,no,si,si,4,5,4,1,1,4,6,11
GP,M,17,U,IMenor3,J,4,4,otro,profesor,madre,1,1,0,si,si,no,no,si,no,si,4,2,1,1,1,4,0,13
GP,H,15,R,IMenor3,J,2,3,en_casa,publico,madre,1,2,0,si,no,si,si,si,no,no,4,4,4,1,1,1,0,8
GP,H,17,R,IMayor3,J,1,2,otro,otro,madre,1,1,3,no,no,no,no,si,no,no,2,2,2,3,3,5,14,10
GP,M,18,R,IMenor3,J,1,1,en_casa,otro,madre,3,1,3,no,si,no,si,si,no,no,5,2,5,1,5,4,6,11
GP,H,16,R,IMenor3,J,2,2,en_casa,otro,madre,3,1,0,no,no,no,no,si,no,no,4,2,2,1,2,3,4,11
GP,H,16,U,IMenor3,J,3,3,otro,publico,padre,1,2,1,no,si,no,no,si,si,si,4,5,5,4,4,5,0,1
GP,H,16,U,IMayor3,J,1,2,salud,publico,madre,2,1,2,no,no,no,no,si,si,no,4,4,5,3,5,5,0,10
GP,H,17,R,IMayor3,J,2,1,en_casa,otro,madre,2,1,1,no,no,si,si,no,si,si,3,3,2,2,2,5,8,9
GP,H,17,R,IMenor3,J,3,2,otro,otro,madre,2,2,2,si,si,no,no,si,si,si,4,4,4,1,4,3,4,8
GP,H,15,U,IMayor3,J,1,2,otro,otro,madre,2,1,0,no,no,no,si,si,no,no,4,4,4,2,4,5,2,10
GP,H,16,U,IMenor3,J,1,3,en_casa,publico,padre,1,1,1,no,no,no,no,no,si,no,5,3,3,1,4,2,2,8
GP,H,17,R,IMayor3,J,1,1,otro,publico,madre,4,2,0,no,no,no,si,no,no,si,5,3,5,1,5,5,0,8
GP,H,17,U,IMenor3,J,3,2,publico,publico,madre,2,1,3,no,si,no,si,no,no,no,4,5,2,1,1,2,10,8
GP,H,16,U,IMenor3,J,2,2,otro,otro,padre,1,2,0,no,no,no,no,no,si,no,4,3,5,2,4,4,0,11
GP,M,16,U,IMenor3,J,4,2,salud,publico,padre,1,2,0,no,no,no,no,si,si,si,4,2,3,1,1,3,0,18
GP,M,16,U,IMenor3,J,2,2,otro,otro,madre,1,2,0,no,si,no,no,si,si,no,5,1,5,1,1,4,0,13
GP,M,16,U,IMenor3,J,4,4,salud,salud,madre,1,2,0,no,si,no,no,si,si,si,4,4,2,1,1,3,0,17
GP,H,16,U,IMenor3,J,3,4,otro,otro,padre,3,1,1,no,si,no,si,si,si,no,3,4,5,2,4,2,4,10
GP,H,16,U,IMenor3,J,1,0,otro,otro,madre,2,2,0,no,si,no,si,si,si,si,4,3,2,1,1,3,0,18
GP,H,17,U,IMayor3,J,4,4,profesora,otro,madre,1,2,0,no,si,no,si,si,si,no,4,4,4,1,3,5,0,10
GP,M,16,U,IMenor3,J,1,3,en_casa,publico,madre,1,2,0,no,no,no,si,si,si,si,4,3,5,1,1,3,0,13
GP,M,16,U,IMayor3,J,3,3,otro,otro,madre,2,2,0,no,si,no,si,si,si,no,4,4,5,1,1,4,0,15
GP,H,17,U,IMayor3,J,4,3,profesora,otro,madre,2,2,0,no,no,no,si,si,si,no,4,4,4,4,4,4,0,11
GP,M,16,U,IMenor3,J,2,2,publico,otro,madre,2,2,0,no,no,no,si,si,si,no,3,4,4,1,4,5,0,14
GP,H,17,U,IMenor3,J,3,3,otro,otro,padre,1,2,0,no,no,no,si,si,si,no,4,3,4,1,4,4,4,10
GP,H,16,R,IMenor3,J,4,2,profesora,publico,madre,1,1,0,no,si,no,si,si,si,si,4,3,3,3,4,3,8,11
GP,H,17,U,IMenor3,J,4,3,otro,otro,madre,1,2,0,no,si,si,si,si,si,si,5,2,3,1,1,2,4,13
GP,H,16,U,IMenor3,J,4,3,profesora,otro,madre,1,2,0,no,si,si,si,si,si,no,3,4,3,2,3,3,4,11
GP,H,16,U,IMenor3,J,3,3,publico,otro,madre,1,2,0,no,no,no,si,si,si,si,4,2,3,1,2,3,0,13
GP,M,17,U,IMenor3,J,2,4,publico,publico,padre,1,2,0,no,si,no,si,si,no,no,5,4,2,2,3,5,0,17
GP,M,17,U,IMayor3,J,3,3,otro,otro,madre,1,2,0,no,si,no,si,si,si,si,5,3,3,2,3,1,32,14
GP,M,16,U,IMenor3,J,3,2,otro,otro,madre,1,2,0,no,si,no,no,si,si,no,1,2,2,1,2,1,8,16
GP,H,17,U,IMenor3,J,3,3,publico,publico,madre,1,2,0,no,si,no,si,si,si,si,4,3,4,2,3,4,6,14
GP,H,16,U,IMenor3,J,1,2,publico,publico,madre,1,1,0,no,si,no,si,si,si,si,3,3,3,1,2,3,0,11
GP,H,16,U,IMayor3,J,2,1,otro,otro,madre,1,2,0,no,no,no,si,si,si,si,4,2,3,1,2,5,0,16
GP,M,17,U,IMenor3,S,3,3,salud,otro,madre,1,2,0,no,si,no,no,si,si,si,3,3,3,1,3,3,10,14
GP,H,17,R,IMenor3,J,1,2,en_casa,otro,madre,1,2,0,no,no,no,no,si,no,no,3,1,3,1,5,3,6,10
